aX,aY,aZ,gX,gY,gZ
-0.183,-0.408,0.935,32.166,-51.331,0.305
-0.203,-0.404,0.905,32.532,-52.002,-1.953
-0.193,-0.390,0.873,32.104,-50.964,-3.601
-0.180,-0.385,0.855,30.029,-49.377,-4.761
-0.186,-0.363,0.837,26.611,-47.852,-5.859
-0.197,-0.339,0.825,25.208,-46.082,-6.470
-0.208,-0.317,0.829,27.100,-45.715,-6.226
-0.232,-0.298,0.834,30.579,-46.082,-5.005
-0.250,-0.292,0.825,33.997,-47.363,-3.601
-0.255,-0.292,0.809,37.354,-49.133,-1.526
-0.252,-0.325,0.806,39.490,-50.293,1.038
-0.246,-0.377,0.781,39.673,-50.354,2.563
-0.231,-0.418,0.753,39.612,-49.255,3.357
-0.224,-0.462,0.752,40.344,-46.326,2.563
-0.235,-0.492,0.745,41.077,-42.786,0.427
-0.251,-0.501,0.738,41.931,-39.856,-2.197
-0.264,-0.494,0.721,44.739,-38.940,-4.578
-0.279,-0.475,0.701,49.194,-39.612,-6.409
-0.316,-0.457,0.692,53.101,-39.612,-7.202
-0.349,-0.460,0.687,54.565,-38.208,-7.629
-0.362,-0.444,0.652,52.429,-37.109,-8.179
-0.375,-0.408,0.630,48.889,-35.522,-7.690
-0.408,-0.403,0.644,45.837,-33.569,-6.653
-0.440,-0.424,0.659,42.969,-30.518,-5.249
-0.467,-0.406,0.650,38.269,-28.564,-3.967
-0.504,-0.396,0.642,35.278,-28.381,-2.686
-0.532,-0.430,0.663,34.729,-27.649,-0.793
-0.545,-0.482,0.665,34.668,-25.757,1.343
-0.535,-0.500,0.652,35.034,-24.658,1.770
-0.549,-0.518,0.693,38.879,-23.560,2.014
-0.555,-0.551,0.718,41.443,-22.034,1.343
-0.562,-0.556,0.702,41.809,-21.912,-0.610
-0.601,-0.572,0.674,42.847,-24.536,-2.747
-0.625,-0.576,0.642,43.762,-23.254,-4.395
1.333,0.463,1.293,-84.473,235.291,62.317
1.337,0.330,1.555,-56.030,259.399,67.932
1.257,0.158,2.022,-19.104,280.518,73.975
1.119,-0.061,2.520,11.658,295.410,78.430
0.947,-0.270,2.867,28.198,292.786,79.163
0.698,-0.451,2.956,30.518,268.127,76.477
0.498,-0.567,2.839,26.978,228.394,69.824
0.341,-0.624,2.610,25.513,179.932,62.805
0.194,-0.651,2.354,26.367,131.470,56.274
0.141,-0.638,2.090,28.137,91.614,50.781
0.131,-0.646,1.861,32.043,58.105,46.204
0.160,-0.692,1.656,37.781,28.137,42.053
0.194,-0.748,1.459,42.114,2.991,37.659
0.208,-0.802,1.219,43.884,-18.005,32.532
0.200,-0.826,0.976,45.837,-37.292,26.978
0.188,-0.826,0.806,47.302,-51.697,21.362
0.189,-0.830,0.707,44.983,-59.753,16.724
0.200,-0.835,0.671,37.842,-64.209,13.367
0.187,-0.866,0.670,27.039,-63.721,10.620
0.186,-0.907,0.668,14.587,-59.631,6.592
0.193,-0.926,0.670,3.418,-57.312,0.427
0.200,-0.893,0.722,-5.066,-56.519,-7.019
0.141,-0.831,0.793,-11.597,-56.274,-14.404
0.086,-0.788,0.835,-18.127,-58.472,-22.034
0.023,-0.735,0.862,-25.940,-62.744,-31.189
-0.058,-0.710,0.811,-32.837,-66.467,-39.368
-0.069,-0.653,0.716,-37.537,-58.472,-49.194
-0.048,-0.516,0.707,-34.180,-40.894,-55.847
-0.063,-0.378,0.796,-23.376,-28.748,-56.702
